"topic","angle","format","source","link"
"模型圈新动作：Our principles","说人话：模型和平台层又出了新能力，离普通用户更近一步，也会带动新一轮教程、横评和对比内容。","功能拆解 / 横评短视频","OpenAI News","https://openai.com/index/our-principles"
"上游有新信号：An Artifact-based Agent Framework for Adaptive and Reproducible Medical Image Processing","说人话：底层算力、芯片或研究又有新动静了，后面会影响模型成本、速度和谁能率先把产品做大。","产业链解读 / 图解长图","arXiv cs.AI","https://arxiv.org/abs/2604.21936"
"上游有新信号：Memanto: Typed Semantic Memory with Information-Theoretic Retrieval for Long-Horizon Agents","说人话：底层算力、芯片或研究又有新动静了，后面会影响模型成本、速度和谁能率先把产品做大。","产业链解读 / 图解长图","arXiv cs.AI","https://arxiv.org/abs/2604.22085"
"上游有新信号：Read the Paper, Write the Code: Agentic Reproduction of Social-Science Results","说人话：底层算力、芯片或研究又有新动静了，后面会影响模型成本、速度和谁能率先把产品做大。","产业链解读 / 图解长图","arXiv cs.AI","https://arxiv.org/abs/2604.21965"
"模型圈新动作：MolClaw: An Autonomous Agent with Hierarchical Skills for Drug Molecule Evaluation, Screening, and Optimization","说人话：模型和平台层又出了新能力，离普通用户更近一步，也会带动新一轮教程、横评和对比内容。","功能拆解 / 横评短视频","arXiv cs.AI","https://arxiv.org/abs/2604.21937"
"上游有新信号：Sound Agentic Science Requires Adversarial Experiments","说人话：底层算力、芯片或研究又有新动静了，后面会影响模型成本、速度和谁能率先把产品做大。","产业链解读 / 图解长图","arXiv cs.AI","https://arxiv.org/abs/2604.22080"
"模型圈新动作：Emergent Strategic Reasoning Risks in AI: A Taxonomy-Driven Evaluation Framework","说人话：模型和平台层又出了新能力，离普通用户更近一步，也会带动新一轮教程、横评和对比内容。","功能拆解 / 横评短视频","arXiv cs.AI","https://arxiv.org/abs/2604.22119"
"上游有新信号：Rethinking Publication: A Certification Framework for AI-Enabled Research","说人话：底层算力、芯片或研究又有新动静了，后面会影响模型成本、速度和谁能率先把产品做大。","产业链解读 / 图解长图","arXiv cs.AI","https://arxiv.org/abs/2604.22026"
